artigo,frente,verso
Art. 34,Complete a ideia do Art. 34: A União não intervirá nos Estados nem no Distrito ...,"A União não intervirá nos Estados nem no Distrito Federal, exceto para: 
(EC n o 14/96 e EC n o 29/2000)
I – manter a integridade nacional;
II – repelir invasão estrangeira ou de uma unidade da Federa..."
Art. 34,Qual a importância estratégica do Art. 34 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 35,Sobre o que dispõe o Art. 35 da CF/88?,"O Estado não intervirá em seus Municípios, nem a União nos Municípios 
localizados em Território Federal, exceto quando: (EC no 29/2000)
I – deixar de ser paga, sem motivo de força maior, por dois anos consecutivos, a 
dívida fundada;
II – não forem prestadas contas devidas, na forma da lei;
III – não tiver sido aplicado o mínimo exigido da receita municipal na manutenção 
e desenvolvimento do ensino e nas ações e serviços públicos de saúde;
IV – o Tribunal de Justiça der provimento a representação para assegurar a ob -
servância de princípios indicados na Constituição Estadual, ou para prover a execução 
de lei, de ordem ou de decisão judicial"
Art. 35,"Complete a ideia do Art. 35: O Estado não intervirá em seus Municípios, nem a U...","O Estado não intervirá em seus Municípios, nem a União nos Municípios 
localizados em Território Federal, exceto quando: (EC no 29/2000)
I – deixar de ser paga, sem motivo de força maior, por dois ano..."
Art. 36,Sobre o que dispõe o Art. 36 da CF/88?,"A decretação da intervenção dependerá: (EC n o 45/2004)
I – no caso do art"
Art. 36,Complete a ideia do Art. 36: A decretação da intervenção dependerá: (EC n o 45/...,"A decretação da intervenção dependerá: (EC n o 45/2004)
I – no caso do art. 34, IV , de solicitação do Poder Legislativo ou do Poder Execu-
tivo coacto ou impedido, ou de requisição do Supremo Tribuna..."
Art. 36,Qual a importância estratégica do Art. 36 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 37,Sobre o que dispõe o Art. 37 da CF/88?,"A administração pública direta e indireta de qualquer dos Poderes da União, 
dos Estados, do Distrito Federal e dos Municípios obedecerá aos princípios de lega -
lidade, impessoalidade, moralidade, publicidade e eficiência e, também, ao seguinte: 
(EC n o 18/98, EC n o 19/98, EC n o 20/98, EC n o 34/2001, EC n o 41/2003, EC n o 42/2003 
e EC n o 47/2005)
I – os cargos, empregos e funções públicas são acessíveis aos brasileiros que pre-
encham os requisitos estabelecidos em lei, assim como aos estrangeiros, na forma da lei;
Constituição da República Federativa do Brasil
36

II – a investidura em cargo ou emprego público depende de aprovação prévia em 
concurso público de provas ou de provas e títulos, de acordo com a natureza e a com-
plexidade do cargo ou emprego, na forma prevista em lei, ressalvadas as nomeações para 
cargo em comissão declarado em lei de livre nomeação e exoneração;
III – o prazo de validade do concurso público será de até dois anos, prorrogável 
uma vez, por igual período;
IV – durante o prazo improrrogável previsto no edital de convocação, aquele 
aprovado em concurso público de provas ou de provas e títulos será convocado com 
prioridade sobre novos concursados para assumir cargo ou emprego, na carreira;
V – as funções de confiança, exercidas exclusivamente por servidores ocupantes 
de cargo efetivo, e os cargos em comissão, a serem preenchidos por servidores de car -
reira nos casos, condições e percentuais mínimos previstos em lei, destinam-se apenas 
às atribuições de direção, chefia e assessoramento;
VI – é garantido ao servidor público civil o direito à livre associação sindical;
VII – o direito de greve será exercido nos termos e nos limites definidos em lei 
específica;
VIII – a lei reservará percentual dos cargos e empregos públicos para as pessoas 
portadoras de deficiência e definirá os critérios de sua admissão;
IX – a lei estabelecerá os casos de contratação por tempo determinado para atender 
a necessidade temporária de excepcional interesse público;
X – a remuneração dos servidores públicos e o subsídio de que trata o § 4o do art"
Art. 37,Quais são os principais pontos/incisos do Art. 37?,Consulte o texto para detalhes sobre a lista de competências ou direitos específicos deste artigo.
Art. 37,Qual a importância estratégica do Art. 37 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 38,Sobre o que dispõe o Art. 38 da CF/88?,"Ao servidor público da administração direta, autárquica e fundacional, no 
exercício de mandato eletivo, aplicam-se as seguintes disposições: (EC no 19/98)
I – tratando-se de mandato eletivo federal, estadual ou distrital, ficará afastado de 
seu cargo, emprego ou função;
II – investido no mandato de Prefeito, será afastado do cargo, emprego ou função, 
sendo-lhe facultado optar pela sua remuneração;
III – investido no mandato de Vereador, havendo compatibilidade de horários, 
perceberá as vantagens de seu cargo, emprego ou função, sem prejuízo da remuneração do 
cargo eletivo, e, não havendo compatibilidade, será aplicada a norma do inciso anterior;
IV – em qualquer caso que exija o afastamento para o exercício de mandato eletivo, 
seu tempo de serviço será contado para todos os efeitos legais, exceto para promoção 
por merecimento;
V – para efeito de benefício previdenciário, no caso de afastamento, os valores 
serão determinados como se no exercício estivesse"
Art. 38,"Complete a ideia do Art. 38: Ao servidor público da administração direta, autár...","Ao servidor público da administração direta, autárquica e fundacional, no 
exercício de mandato eletivo, aplicam-se as seguintes disposições: (EC no 19/98)
I – tratando-se de mandato eletivo federal, ..."
Art. 38,Qual a importância estratégica do Art. 38 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 39,Sobre o que dispõe o Art. 39 da CF/88?,"A União, os Estados, o Distrito Federal e os Municípios instituirão conselho 
de política de administração e remuneração de pessoal, integrado por servidores desig-
nados pelos respectivos Poderes"
Art. 39,"Complete a ideia do Art. 39: A União, os Estados, o Distrito Federal e os Munic...","A União, os Estados, o Distrito Federal e os Municípios instituirão conselho 
de política de administração e remuneração de pessoal, integrado por servidores desig-
nados pelos respectivos Poderes.
3
..."
Art. 39,Qual a importância estratégica do Art. 39 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 40,Sobre o que dispõe o Art. 40 da CF/88?,"Aos servidores titulares de cargos efetivos da União, dos Estados, do Distrito 
Federal e dos Municípios, incluídas suas autarquias e fundações, é assegurado regime 
de previdência de caráter contributivo e solidário, mediante contribuição do respectivo 
ente público, dos servidores ativos e inativos e dos pensionistas, observados critérios 
que preservem o equilíbrio financeiro e atuarial e o disposto neste artigo"
Art. 40,Complete a ideia do Art. 40: Aos servidores titulares de cargos efetivos da Uni...,"Aos servidores titulares de cargos efetivos da União, dos Estados, do Distrito 
Federal e dos Municípios, incluídas suas autarquias e fundações, é assegurado regime 
de previdência de caráter contribu..."
Art. 40,Qual a importância estratégica do Art. 40 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 41,Sobre o que dispõe o Art. 41 da CF/88?,"São estáveis após três anos de efetivo exercício os servidores nomeados para 
cargo de provimento efetivo em virtude de concurso público"
Art. 41,Complete a ideia do Art. 41: São estáveis após três anos de efetivo exercício o...,"São estáveis após três anos de efetivo exercício os servidores nomeados para 
cargo de provimento efetivo em virtude de concurso público. (EC no 19/98)
§ 1o O servidor público estável só perderá o car..."
Art. 41,Qual a importância estratégica do Art. 41 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 42,Sobre o que dispõe o Art. 42 da CF/88?,"Os membros das Polícias Militares e Corpos de Bombeiros Militares, insti-
tuições organizadas com base na hierarquia e disciplina, são militares dos Estados, do 
Distrito Federal e dos Territórios"
Art. 42,Complete a ideia do Art. 42: Os membros das Polícias Militares e Corpos de Bomb...,"Os membros das Polícias Militares e Corpos de Bombeiros Militares, insti-
tuições organizadas com base na hierarquia e disciplina, são militares dos Estados, do 
Distrito Federal e dos Territórios. (E..."
Art. 43,Sobre o que dispõe o Art. 43 da CF/88?,"Para efeitos administrativos, a União poderá articular sua ação em um mes-
mo complexo geoeconômico e social, visando a seu desenvolvimento e à redução das 
desigualdades regionais"
Art. 43,"Complete a ideia do Art. 43: Para efeitos administrativos, a União poderá artic...","Para efeitos administrativos, a União poderá articular sua ação em um mes-
mo complexo geoeconômico e social, visando a seu desenvolvimento e à redução das 
desigualdades regionais.
§ 1o Lei complemen..."
Art. 43,Qual a importância estratégica do Art. 43 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 44,Sobre o que dispõe o Art. 44 da CF/88?,"O Poder Legislativo é exercido pelo Congresso Nacional, que se compõe da 
Câmara dos Deputados e do Senado Federal"
Art. 44,Complete a ideia do Art. 44: O Poder Legislativo é exercido pelo Congresso Naci...,"O Poder Legislativo é exercido pelo Congresso Nacional, que se compõe da 
Câmara dos Deputados e do Senado Federal.
Parágrafo único. Cada legislatura terá a duração de quatro anos."
Art. 45,Sobre o que dispõe o Art. 45 da CF/88?,"A Câmara dos Deputados compõe-se de representantes do povo, eleitos, 
pelo sistema proporcional, em cada Estado, em cada Território e no Distrito Federal"
Art. 45,Complete a ideia do Art. 45: A Câmara dos Deputados compõe-se de representantes...,"A Câmara dos Deputados compõe-se de representantes do povo, eleitos, 
pelo sistema proporcional, em cada Estado, em cada Território e no Distrito Federal.
§ 1o O número total de Deputados, bem como a ..."
Art. 46,Sobre o que dispõe o Art. 46 da CF/88?,"O Senado Federal compõe-se de representantes dos Estados e do Distrito 
Federal, eleitos segundo o princípio majoritário"
Art. 46,Complete a ideia do Art. 46: O Senado Federal compõe-se de representantes dos E...,"O Senado Federal compõe-se de representantes dos Estados e do Distrito 
Federal, eleitos segundo o princípio majoritário.
§ 1o Cada Estado e o Distrito Federal elegerão três Senadores, com mandato de ..."
Art. 47,Sobre o que dispõe o Art. 47 da CF/88?,"Salvo disposição constitucional em contrário, as deliberações de cada Casa 
e de suas Comissões serão tomadas por maioria dos votos, presente a maioria absoluta 
de seus membros"
Art. 47,"Complete a ideia do Art. 47: Salvo disposição constitucional em contrário, as d...","Salvo disposição constitucional em contrário, as deliberações de cada Casa 
e de suas Comissões serão tomadas por maioria dos votos, presente a maioria absoluta 
de seus membros.
SEÇÃO II –  
Das Atri..."
Art. 48,Sobre o que dispõe o Art. 48 da CF/88?,"Cabe ao Congresso Nacional, com a sanção do Presidente da República, não 
exigida esta para o especificado nos arts"
Art. 48,"Complete a ideia do Art. 48: Cabe ao Congresso Nacional, com a sanção do Presid...","Cabe ao Congresso Nacional, com a sanção do Presidente da República, não 
exigida esta para o especificado nos arts. 49, 51 e 52, dispor sobre todas as matérias de 
competência da União, especialmente..."
Art. 48,Qual a importância estratégica do Art. 48 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 49,Sobre o que dispõe o Art. 49 da CF/88?,"É da competência exclusiva do Congresso Nacional: (EC n o 19/98)
I – resolver definitivamente sobre tratados, acordos ou atos internacionais que 
acarretem encargos ou compromissos gravosos ao patrimônio nacional;
II – autorizar o Presidente da República a declarar guerra, a celebrar a paz, a per-
mitir que forças estrangeiras transitem pelo território nacional ou nele permaneçam 
temporariamente, ressalvados os casos previstos em lei complementar;
III – autorizar o Presidente e o Vice-Presidente da República a se ausentarem do 
País, quando a ausência exceder a quinze dias;
IV – aprovar o estado de defesa e a intervenção federal, autorizar o estado de sítio, 
ou suspender qualquer uma dessas medidas;
V – sustar os atos normativos do Poder Executivo que exorbitem do poder regu-
lamentar ou dos limites de delegação legislativa;
VI – mudar temporariamente sua sede;
VII – fixar idêntico subsídio para os Deputados Federais e os Senadores, observado 
o que dispõem os arts"
Art. 49,Complete a ideia do Art. 49: É da competência exclusiva do Congresso Nacional: ...,"É da competência exclusiva do Congresso Nacional: (EC n o 19/98)
I – resolver definitivamente sobre tratados, acordos ou atos internacionais que 
acarretem encargos ou compromissos gravosos ao patrimô..."
Art. 49,Qual a importância estratégica do Art. 49 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 50,Sobre o que dispõe o Art. 50 da CF/88?,"A Câmara dos Deputados e o Senado Federal, ou qualquer de suas Comis -
sões, poderão convocar Ministro de Estado ou quaisquer titulares de órgãos diretamente 
subordinados à Presidência da República para prestarem, pessoalmente, informações 
sobre assunto previamente determinado, importando em crime de responsabilidade a 
ausência sem justificação adequada"
Art. 50,"Complete a ideia do Art. 50: A Câmara dos Deputados e o Senado Federal, ou qual...","A Câmara dos Deputados e o Senado Federal, ou qualquer de suas Comis -
sões, poderão convocar Ministro de Estado ou quaisquer titulares de órgãos diretamente 
subordinados à Presidência da República p..."
Art. 51,Sobre o que dispõe o Art. 51 da CF/88?,"Compete privativamente à Câmara dos Deputados: (EC n o 19/98)
I – autorizar, por dois terços de seus membros, a instauração de processo contra 
o Presidente e o Vice-Presidente da República e os Ministros de Estado;
II – proceder à tomada de contas do Presidente da República, quando não apresen-
tadas ao Congresso Nacional dentro de sessenta dias após a abertura da sessão legislativa;
III – elaborar seu regimento interno;
IV – dispor sobre sua organização, funcionamento, polícia, criação, transformação 
ou extinção dos cargos, empregos e funções de seus serviços, e a iniciativa de lei para 
fixação da respectiva remuneração, observados os parâmetros estabelecidos na lei de 
diretrizes orçamentárias;
V – eleger membros do Conselho da República, nos termos do art"
Art. 51,Complete a ideia do Art. 51: Compete privativamente à Câmara dos Deputados: (EC...,"Compete privativamente à Câmara dos Deputados: (EC n o 19/98)
I – autorizar, por dois terços de seus membros, a instauração de processo contra 
o Presidente e o Vice-Presidente da República e os Minis..."
Art. 52,Sobre o que dispõe o Art. 52 da CF/88?,"Compete privativamente ao Senado Federal: (EC  n o  19/98, EC  n o  23/99, 
EC n o 42/2003 e EC n o 45/2004)
I – processar e julgar o Presidente e o Vice-Presidente da República nos crimes de 
responsabilidade, bem como os Ministros de Estado e os Comandantes da Marinha, do 
Exército e da Aeronáutica nos crimes da mesma natureza conexos com aqueles;
II – processar e julgar os Ministros do Supremo Tribunal Federal, os membros do 
Conselho Nacional de Justiça e do Conselho Nacional do Ministério Público, o Procura-
dor-Geral da República e o Advogado-Geral da União nos crimes de responsabilidade;
III – aprovar previamente, por voto secreto, após argüição pública, a escolha de:
47Da Organização dos Poderes

a) magistrados, nos casos estabelecidos nesta Constituição;
b) Ministros do Tribunal de Contas da União indicados pelo Presidente da 
República;
c) Governador de Território;
d) presidente e diretores do banco central;
e) Procurador-Geral da República;
f) titulares de outros cargos que a lei determinar;
IV – aprovar previamente, por voto secreto, após argüição em sessão secreta, a 
escolha dos chefes de missão diplomática de caráter permanente;
V – autorizar operações externas de natureza financeira, de interesse da União, 
dos Estados, do Distrito Federal, dos Territórios e dos Municípios;
VI – fixar, por proposta do Presidente da República, limites globais para o mon-
tante da dívida consolidada da União, dos Estados, do Distrito Federal e dos Municípios;
VII – dispor sobre limites globais e condições para as operações de crédito externo 
e interno da União, dos Estados, do Distrito Federal e dos Municípios, de suas autarquias 
e demais entidades controladas pelo Poder Público federal;
VIII – dispor sobre limites e condições para a concessão de garantia da União em 
operações de crédito externo e interno;
IX – estabelecer limites globais e condições para o montante da dívida mobiliária 
dos Estados, do Distrito Federal e dos Municípios;
X – suspender a execução, no todo ou em parte, de lei declarada inconstitucional 
por decisão definitiva do Supremo Tribunal Federal;
XI – aprovar, por maioria absoluta e por voto secreto, a exoneração, de ofício, do 
Procurador-Geral da República antes do término de seu mandato;
XII – elaborar seu regimento interno;
XIII – dispor sobre sua organização, funcionamento, polícia, criação, transfor -
mação ou extinção dos cargos, empregos e funções de seus serviços, e a iniciativa de lei 
para a fixação da respectiva remuneração, observados os parâmetros estabelecidos na 
lei de diretrizes orçamentárias;
XIV – eleger membros do Conselho da República, nos termos do art"
Art. 52,Quais são os principais pontos/incisos do Art. 52?,Consulte o texto para detalhes sobre a lista de competências ou direitos específicos deste artigo.
Art. 52,Qual a importância estratégica do Art. 52 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 53,Sobre o que dispõe o Art. 53 da CF/88?,"Os Deputados e Senadores são invioláveis, civil e penalmente, por quaisquer 
de suas opiniões, palavras e votos"
Art. 53,"Complete a ideia do Art. 53: Os Deputados e Senadores são invioláveis, civil e ...","Os Deputados e Senadores são invioláveis, civil e penalmente, por quaisquer 
de suas opiniões, palavras e votos. (EC n o 35/2001)
§ 1o Os Deputados e Senadores, desde a expedição do diploma, serão sub..."
Art. 53,Qual a importância estratégica do Art. 53 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 54,Sobre o que dispõe o Art. 54 da CF/88?,"Os Deputados e Senadores não poderão:
I – desde a expedição do diploma:
a) firmar ou manter contrato com pessoa jurídica de direito público, autarquia, 
empresa pública, sociedade de economia mista ou empresa concessionária de 
serviço público, salvo quando o contrato obedecer a cláusulas uniformes;
b) aceitar ou exercer cargo, função ou emprego remunerado, inclusive os de que 
sejam demissíveis ad nutum, nas entidades constantes da alínea anterior;
II – desde a posse:
a) ser proprietários, controladores ou diretores de empresa que goze de favor 
decorrente de contrato com pessoa jurídica de direito público, ou nela exercer 
função remunerada;
b) ocupar cargo ou função de que sejam demissíveis ad nutum, nas entidades 
referidas no inciso I, “a”;
c) patrocinar causa em que seja interessada qualquer das entidades a que se refere 
o inciso I, “a”;
d) ser titulares de mais de um cargo ou mandato público eletivo"
Art. 54,"Complete a ideia do Art. 54: Os Deputados e Senadores não poderão:
I – desde a ...","Os Deputados e Senadores não poderão:
I – desde a expedição do diploma:
a) firmar ou manter contrato com pessoa jurídica de direito público, autarquia, 
empresa pública, sociedade de economia mista ou..."
Art. 55,Sobre o que dispõe o Art. 55 da CF/88?,"Perderá o mandato o Deputado ou Senador: (ECR no 6/94 e EC n o 76/2013)
I – que infringir qualquer das proibições estabelecidas no artigo anterior;
II – cujo procedimento for declarado incompatível com o decoro parlamentar;
III – que deixar de comparecer, em cada sessão legislativa, à terça parte das sessões 
ordinárias da Casa a que pertencer, salvo licença ou missão por esta autorizada;
IV – que perder ou tiver suspensos os direitos políticos;
V – quando o decretar a Justiça Eleitoral, nos casos previstos nesta Constituição;
49Da Organização dos Poderes

VI – que sofrer condenação criminal em sentença transitada em julgado"
Art. 55,Quais são os principais pontos/incisos do Art. 55?,Consulte o texto para detalhes sobre a lista de competências ou direitos específicos deste artigo.
Art. 55,Qual a importância estratégica do Art. 55 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 56,Sobre o que dispõe o Art. 56 da CF/88?,"Não perderá o mandato o Deputado ou Senador:
I – investido no cargo de Ministro de Estado, Governador de Território, Secretário 
de Estado, do Distrito Federal, de Território, de Prefeitura de Capital ou chefe de missão 
diplomática temporária;
II – licenciado pela respectiva Casa por motivo de doença, ou para tratar, sem 
remuneração, de interesse particular, desde que, neste caso, o afastamento não ultrapasse 
cento e vinte dias por sessão legislativa"
Art. 56,"Complete a ideia do Art. 56: Não perderá o mandato o Deputado ou Senador:
I – i...","Não perderá o mandato o Deputado ou Senador:
I – investido no cargo de Ministro de Estado, Governador de Território, Secretário 
de Estado, do Distrito Federal, de Território, de Prefeitura de Capital..."
Art. 57,Sobre o que dispõe o Art. 57 da CF/88?,"O Congresso Nacional reunir-se-á, anualmente, na Capital Federal, de 2 de 
fevereiro a 17 de julho e de 1o de agosto a 22 de dezembro"
Art. 57,"Complete a ideia do Art. 57: O Congresso Nacional reunir-se-á, anualmente, na C...","O Congresso Nacional reunir-se-á, anualmente, na Capital Federal, de 2 de 
fevereiro a 17 de julho e de 1o de agosto a 22 de dezembro. (EC no 19/98, EC n o 32/2001 
e EC n o 50/2006)
§ 1o As reuniões ..."
Art. 57,Qual a importância estratégica do Art. 57 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 58,Sobre o que dispõe o Art. 58 da CF/88?,"O Congresso Nacional e suas Casas terão comissões permanentes e tempo-
rárias, constituídas na forma e com as atribuições previstas no respectivo regimento ou 
no ato de que resultar sua criação"
Art. 58,Complete a ideia do Art. 58: O Congresso Nacional e suas Casas terão comissões ...,"O Congresso Nacional e suas Casas terão comissões permanentes e tempo-
rárias, constituídas na forma e com as atribuições previstas no respectivo regimento ou 
no ato de que resultar sua criação.
§ 1o..."
Art. 58,Qual a importância estratégica do Art. 58 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 59,Sobre o que dispõe o Art. 59 da CF/88?,"O processo legislativo compreende a elaboração de:
I – emendas à Constituição;
II – leis complementares;
III – leis ordinárias;
IV – leis delegadas;
V – medidas provisórias;
VI – decretos legislativos;
VII – resoluções"
Art. 59,Complete a ideia do Art. 59: O processo legislativo compreende a elaboração de:...,"O processo legislativo compreende a elaboração de:
I – emendas à Constituição;
II – leis complementares;
III – leis ordinárias;
IV – leis delegadas;
V – medidas provisórias;
VI – decretos legislativos..."
Art. 60,Sobre o que dispõe o Art. 60 da CF/88?,"A Constituição poderá ser emendada mediante proposta:
I – de um terço, no mínimo, dos membros da Câmara dos Deputados ou do Se-
nado Federal;
II – do Presidente da República;
III – de mais da metade das Assembléias Legislativas das unidades da Federação, 
manifestando-se, cada uma delas, pela maioria relativa de seus membros"
Art. 60,Complete a ideia do Art. 60: A Constituição poderá ser emendada mediante propos...,"A Constituição poderá ser emendada mediante proposta:
I – de um terço, no mínimo, dos membros da Câmara dos Deputados ou do Se-
nado Federal;
II – do Presidente da República;
III – de mais da metade d..."
Art. 60,Qual a importância estratégica do Art. 60 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 61,Sobre o que dispõe o Art. 61 da CF/88?,"A iniciativa das leis complementares e ordinárias cabe a qualquer membro 
ou Comissão da Câmara dos Deputados, do Senado Federal ou do Congresso Nacional, 
ao Presidente da República, ao Supremo Tribunal Federal, aos Tribunais Superiores, ao 
Procurador-Geral da República e aos cidadãos, na forma e nos casos previstos nesta 
Constituição"
Art. 61,Complete a ideia do Art. 61: A iniciativa das leis complementares e ordinárias ...,"A iniciativa das leis complementares e ordinárias cabe a qualquer membro 
ou Comissão da Câmara dos Deputados, do Senado Federal ou do Congresso Nacional, 
ao Presidente da República, ao Supremo Tribu..."
Art. 61,Qual a importância estratégica do Art. 61 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 62,Sobre o que dispõe o Art. 62 da CF/88?,"Em caso de relevância e urgência, o Presidente da República poderá adotar 
medidas provisórias, com força de lei, devendo submetê-las de imediato ao Congresso 
Nacional"
Art. 62,"Complete a ideia do Art. 62: Em caso de relevância e urgência, o Presidente da ...","Em caso de relevância e urgência, o Presidente da República poderá adotar 
medidas provisórias, com força de lei, devendo submetê-las de imediato ao Congresso 
Nacional. (EC n o 32/2001)
§ 1o É vedada..."
Art. 62,Qual a importância estratégica do Art. 62 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 63,Sobre o que dispõe o Art. 63 da CF/88?,"Não será admitido aumento da despesa prevista:
I – nos projetos de iniciativa exclusiva do Presidente da República, ressalvado o 
disposto no art"
Art. 63,"Complete a ideia do Art. 63: Não será admitido aumento da despesa prevista:
I –...","Não será admitido aumento da despesa prevista:
I – nos projetos de iniciativa exclusiva do Presidente da República, ressalvado o 
disposto no art. 166, §§ 3 o e 4o;
II – nos projetos sobre organização..."
Art. 64,Sobre o que dispõe o Art. 64 da CF/88?,"A discussão e votação dos projetos de lei de iniciativa do Presidente da Repú-
blica, do Supremo Tribunal Federal e dos Tribunais Superiores terão início na Câmara 
dos Deputados"
Art. 64,Complete a ideia do Art. 64: A discussão e votação dos projetos de lei de inici...,"A discussão e votação dos projetos de lei de iniciativa do Presidente da Repú-
blica, do Supremo Tribunal Federal e dos Tribunais Superiores terão início na Câmara 
dos Deputados. (EC n o 32/2001)
§ 1..."
Art. 65,Sobre o que dispõe o Art. 65 da CF/88?,"O projeto de lei aprovado por uma Casa será revisto pela outra, em um só 
turno de discussão e votação, e enviado à sanção ou promulgação, se a Casa revisora o 
aprovar, ou arquivado, se o rejeitar"
Art. 65,Complete a ideia do Art. 65: O projeto de lei aprovado por uma Casa será revist...,"O projeto de lei aprovado por uma Casa será revisto pela outra, em um só 
turno de discussão e votação, e enviado à sanção ou promulgação, se a Casa revisora o 
aprovar, ou arquivado, se o rejeitar.
P..."
Art. 66,Sobre o que dispõe o Art. 66 da CF/88?,"A Casa na qual tenha sido concluída a votação enviará o projeto de lei ao 
Presidente da República, que, aquiescendo, o sancionará"
Art. 66,Complete a ideia do Art. 66: A Casa na qual tenha sido concluída a votação envi...,"A Casa na qual tenha sido concluída a votação enviará o projeto de lei ao 
Presidente da República, que, aquiescendo, o sancionará. (EC no 32/2001 e EC no 76/2013)
§ 1o Se o Presidente da República co..."
Art. 66,Qual a importância estratégica do Art. 66 para a organização do Estado?,Este artigo detalha normas complexas de organização ou competência essenciais para o funcionamento institucional.
Art. 67,Sobre o que dispõe o Art. 67 da CF/88?,"A matéria constante de projeto de lei rejeitado somente poderá constituir 
objeto de novo projeto, na mesma sessão legislativa, mediante proposta da maioria 
absoluta dos membros de qualquer das Casas do Congresso Nacional"
Art. 67,Complete a ideia do Art. 67: A matéria constante de projeto de lei rejeitado so...,"A matéria constante de projeto de lei rejeitado somente poderá constituir 
objeto de novo projeto, na mesma sessão legislativa, mediante proposta da maioria 
absoluta dos membros de qualquer das Casas..."
Art. 68,Sobre o que dispõe o Art. 68 da CF/88?,"As leis delegadas serão elaboradas pelo Presidente da República, que deverá 
solicitar a delegação ao Congresso Nacional"
Art. 68,Complete a ideia do Art. 68: As leis delegadas serão elaboradas pelo Presidente...,"As leis delegadas serão elaboradas pelo Presidente da República, que deverá 
solicitar a delegação ao Congresso Nacional.
§ 1o Não serão objeto de delegação os atos de competência exclusiva do Congres..."
Art. 69,Sobre o que dispõe o Art. 69 da CF/88?,As leis complementares serão aprovadas por maioria absoluta
Art. 69,Complete a ideia do Art. 69: As leis complementares serão aprovadas por maioria...,"As leis complementares serão aprovadas por maioria absoluta.
SEÇÃO IX –  
Da Fiscalização Contábil, Financeira e Orçamentária"
Art. 70,Sobre o que dispõe o Art. 70 da CF/88?,"A fiscalização contábil, financeira, orçamentária, operacional e patrimonial 
da União e das entidades da administração direta e indireta, quanto à legalidade, legiti-
midade, economicidade, aplicação das subvenções e renúncia de receitas, será exercida 
pelo Congresso Nacional, mediante controle externo, e pelo sistema de controle interno 
de cada Poder"
Art. 70,"Complete a ideia do Art. 70: A fiscalização contábil, financeira, orçamentária,...","A fiscalização contábil, financeira, orçamentária, operacional e patrimonial 
da União e das entidades da administração direta e indireta, quanto à legalidade, legiti-
midade, economicidade, aplicação..."
